City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,84,90,20.71,light snow
284,Hammerfest,NO,70.6634,23.6821,23.45,58,99,10.36,overcast clouds
285,Tottori,JP,35.5,134.2333,46.47,76,75,18.41,light intensity shower rain
286,Safaga,EG,26.7292,33.9365,64.35,37,98,10.96,overcast clouds
287,Lavrentiya,RU,65.5833,-171.0,-9.02,93,33,8.5,scattered clouds
288,Atar,MR,20.5169,-13.0499,75.76,33,5,5.57,clear sky
289,Road Town,VG,18.4167,-64.6167,78.89,83,40,12.66,scattered clouds
290,Rapar,IN,23.5667,70.6333,72.5,45,3,3.87,clear sky
291,Vardo,NO,70.3705,31.1107,24.8,58,100,4.83,overcast clouds
292,Pandan,PH,14.0453,124.1694,82.36,84,48,11.23,scattered clouds
293,Faya,SA,18.3851,42.4509,55.51,79,0,1.95,clear sky
294,Cayenne,GF,4.9333,-52.3333,80.64,83,75,5.75,broken clouds
295,Oranjemund,NA,-28.55,16.4333,60.26,83,0,18.3,clear sky
296,Myitkyina,MM,25.3833,97.4,65.75,56,0,2.71,clear sky
297,Ayakudi,IN,10.45,77.55,73.54,92,100,1.92,overcast clouds
298,New Norfolk,AU,-42.7826,147.0587,60.3,37,77,2.95,broken clouds
299,Talcahuano,CL,-36.7167,-73.1167,56.88,77,0,21.85,clear sky
300,Merauke,ID,-8.4667,140.3333,87.1,62,96,7.58,overcast clouds
301,Yalvac,TR,38.2956,31.1778,48.36,87,75,10.96,broken clouds
302,Yaan,NG,7.3833,8.5667,75.2,52,78,3.38,broken clouds
303,Sakaraha,MG,-22.9,44.5333,59.09,69,0,10.74,clear sky
304,Manyana,BW,-23.4,21.7167,67.59,73,18,10.29,light rain
305,Tamiahua,MX,21.2667,-97.45,62.6,87,100,9.89,overcast clouds
306,Teeli,RU,51.0333,90.2333,2.43,82,71,4.05,broken clouds
307,Coahuayana,MX,18.7333,-103.6833,76.28,83,43,0.38,scattered clouds
308,Yelyzavethradka,UA,48.8038,32.4046,42.3,88,100,21.14,overcast clouds
309,Twentynine Palms,US,34.1356,-116.0542,67.86,11,53,5.32,broken clouds
310,Ancud,CL,-41.8697,-73.8203,53.13,80,97,4.7,overcast clouds
311,Mlonggo,ID,-6.5333,110.7,83.32,74,98,2.46,overcast clouds
312,Lompoc,US,34.6391,-120.4579,64.71,77,1,4.61,clear sky
313,Fairfield,US,41.2668,-73.3162,39.85,52,75,6.91,broken clouds
314,Port-Gentil,GA,-0.7193,8.7815,80.02,81,88,10.0,light rain
315,Hay River,CA,60.8156,-115.7999,8.58,72,75,12.66,broken clouds
316,Nizhniy Chir,RU,48.3597,43.0865,34.61,89,8,12.53,clear sky
317,Berdigestyakh,RU,62.0989,126.6992,17.8,88,100,13.94,light snow
318,Manzhouli,CN,49.6,117.4333,13.59,90,99,2.71,overcast clouds
319,Kimbe,PG,-5.5502,150.1429,88.03,63,100,6.31,light rain
