City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
489,Vila Velha,BR,75.15,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
495,Banamba,ML,75.78,few clouds,13.55,-7.45,Kassela de Banamba
499,Sao Joao Da Barra,BR,73.45,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
500,Imbituba,BR,73.29,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
503,Balabac,PH,82.78,light rain,7.9868,117.0645,Sing and Swing Lodge
506,Mayumba,GA,77.2,moderate rain,-3.432,10.6554,LIKWALE LODGE
510,Sungairaya,ID,79.92,overcast clouds,0.7,108.9,Mess P.Milu
512,Chumphon,TH,73.51,overcast clouds,10.3333,98.8333,สกาน จ๋า.
513,Kralendijk,BQ,80.58,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
516,Kloulklubed,PW,84.7,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
518,Rosignol,GY,77.45,overcast clouds,6.2833,-57.5333,Little Rock Suites
519,Ambon,ID,89.74,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
520,Jardim,BR,74.05,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
524,Diplo,PK,70.23,clear sky,24.4667,69.584,Mukhi Ahmed Ali Residency
526,Salgueiro,BR,79.57,broken clouds,-8.0742,-39.1192,Hotel Requinte
529,Port Moresby,PG,85.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
531,Quelimane,MZ,72.81,broken clouds,-17.8786,36.8883,Hotel Flamingo
534,Nanakuli,US,82.35,overcast clouds,21.3906,-158.1547,Camp Pālehua
539,Atambua,ID,85.12,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
543,Katobu,ID,87.3,broken clouds,-4.9408,122.5276,La Ode Husein
547,Alyangula,AU,85.87,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
548,Ende,ID,86.72,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
549,Port Blair,IN,82.89,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
554,Ahipara,NZ,70.45,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
557,Aden,YE,80.89,few clouds,12.7794,45.0367,Sama Emirate Hotel
559,Semporna,MY,82.6,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
560,Redlands,US,71.28,scattered clouds,34.0556,-117.1825,Dynasty Suites Redlands
561,Pontes E Lacerda,BR,72.7,overcast clouds,-15.2261,-59.3353,Hotel Bressan
562,Caravelas,BR,72.03,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
564,Basco,PH,77.58,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
569,Panacan,PH,81.82,overcast clouds,9.2463,118.4082,Mom's Place Resort
570,Acari,PE,70.34,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
573,Bambanglipuro,ID,80.71,moderate rain,-7.95,110.2833,Puri Brata
577,Luganville,VU,84.52,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
581,Bambous Virieux,MU,71.85,few clouds,-20.3428,57.7575,Casa Tia Villa
582,Upata,VE,71.85,broken clouds,8.0086,-62.3989,Posada Villa Nela
585,Mahajanga,MG,77.02,thunderstorm with light rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
586,Dingle,PH,84.02,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
588,Airai,TL,75.88,overcast clouds,-8.9266,125.4092,Juvinal Martin
591,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
592,Dakar,SN,80.73,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
593,Auki,SB,82.96,overcast clouds,-8.7676,160.7034,Auki Motel
594,Japura,ID,77.72,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
600,Veraval,IN,74.62,clear sky,20.9,70.3667,Lords Inn Somnath
604,Kualakapuas,ID,86.65,overcast clouds,-3.0091,114.3876,Guest House Izonk
609,Matara,LK,78.69,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
610,Sosua,DO,75.18,broken clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
614,Sambava,MG,73.8,scattered clouds,-14.2667,50.1667,Melrose
615,Sinnamary,GF,79.25,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
617,Kiunga,PG,89.35,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
618,Porto Walter,BR,78.28,scattered clouds,-8.2686,-72.7439,Secretaria de saúde
621,Manta,EC,74.98,broken clouds,-0.95,-80.7333,Balandra Hotel
627,Jalingo,NG,75.63,scattered clouds,8.8833,11.3667,Debright Motel
636,Dwarka,IN,75.63,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
642,Teknaf,BD,71.53,clear sky,20.8624,92.3058,Forestry Guesthouse
