City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Fairbanks,US,2021-11-25 16:13:03,64.8378,-147.7164,-14.91,69,40,0.0
126,Nakonde,ZM,2021-11-25 16:16:51,-9.3421,32.745,67.89,69,82,5.1
127,Ayagoz,KZ,2021-11-25 16:16:51,47.9714,80.4392,38.79,76,100,17.72
128,Saldanha,ZA,2021-11-25 16:16:51,-33.0117,17.9442,75.02,44,1,16.67
129,Coihaique,CL,2021-11-25 16:14:04,-45.5752,-72.0662,56.01,50,75,10.36
130,Puerto Ayora,EC,2021-11-25 16:16:52,-0.7393,-90.3518,78.76,86,57,5.99
131,Meiganga,CM,2021-11-25 16:16:52,6.5167,14.3,83.93,26,76,4.76
132,Victoria,HK,2021-11-25 16:15:28,22.2855,114.1577,69.33,70,4,3.0
133,Marawi,PH,2021-11-25 16:16:52,7.9986,124.2928,66.65,94,73,1.72
134,Imeni Poliny Osipenko,RU,2021-11-25 16:16:54,52.4201,136.4853,27.43,88,100,21.63
135,Clinton,US,2021-11-25 16:13:06,42.587,-82.9199,45.95,92,75,1.01
136,Mataura,NZ,2021-11-25 16:16:54,-46.1927,168.8643,58.71,54,100,9.04
137,Kasempa,ZM,2021-11-25 16:16:55,-13.4584,25.8338,73.02,60,95,7.96
138,Nikolskoye,RU,2021-11-25 16:17:55,59.7035,30.7861,42.87,90,100,12.37
139,Barkot,IN,2021-11-25 16:17:55,30.8167,78.2,49.87,56,0,4.05
140,Geraldton,AU,2021-11-25 16:17:56,-28.7667,114.6,63.01,82,0,4.61
141,Bredasdorp,ZA,2021-11-25 16:17:56,-34.5322,20.0403,68.29,64,0,28.05
142,Machinga,MW,2021-11-25 16:17:56,-15.1685,35.3,73.45,77,95,4.68
143,Waipawa,NZ,2021-11-25 16:17:56,-41.4122,175.5153,57.04,72,30,13.11
144,Eston,CA,2021-11-25 16:17:57,51.1501,-108.7514,30.09,80,100,6.33
145,Faanui,PF,2021-11-25 16:17:57,-16.4833,-151.75,81.07,78,18,15.41
146,Dekar,BW,2021-11-25 16:17:57,-21.5333,21.9333,93.15,9,0,11.18
147,Bambous Virieux,MU,2021-11-25 16:17:58,-20.3428,57.7575,79.05,73,40,3.44
148,Lagos,NG,2021-11-25 16:16:29,6.5833,3.75,88.12,69,82,7.45
149,Shimoda,JP,2021-11-25 16:17:58,34.6667,138.95,54.1,64,2,28.39
150,Altagracia De Orituco,VE,2021-11-25 16:17:58,9.8601,-66.3814,83.05,69,91,3.89
151,Bada,RU,2021-11-25 16:17:59,51.392,109.8717,11.8,91,83,3.06
152,Padang,ID,2021-11-25 16:17:59,-0.9492,100.3543,77.05,79,97,3.62
153,Kodiak,US,2021-11-25 16:14:05,57.79,-152.4072,17.11,57,20,14.97
154,Dalbandin,PK,2021-11-25 16:18:00,28.8947,64.4101,62.92,24,0,7.36
155,Lebu,CL,2021-11-25 16:18:00,-37.6167,-73.65,61.9,68,3,9.33
